1276,45,Button.left
1313,124,Button.left
1285,43,Button.left
1326,124,Button.left
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
480,598,scrollh0,-1
